,start,end,ajb9b3,ajdqnf,amsh7c,bay6g7,cjdk88,ctkbn4,dlokv6,dsdxd8,dtqb7d,elnfhc,habc8,hemmb2,hmnhx4,hnldm2,jac345,jahq76,jdf5g4,jfk535,jhgn9c,jkn7fc,jlgwxc,jlkm94,jmd5h8,jrrgxf,kab5zb,kah89f,kdcncc,kedgm9,krh5f5,lms8m4,lpnb79,mjpg95,mmg9n6,mtf7w2,mwwcn6,ngtp8b,nhm2p3,njd5zf,nm8c7,oro26b,pecxc9,pt7td,rrg3md,sanfz9,sbpc42,smdvw5,tah5z2,tcdzb7,tjdpzd,tlgdq9,vvmmvd,wahbf,wgocnc,zws2p8
0,1359982800000,1359983100000,0.0001,0.0001,0.0001,0.0001,17.410714285714285,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,41.35338345864661,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,6060.119137479872,0.0001,3067.7083333333335,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1638.3574695121952,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,6103.89250901752,0.0001,0.0001
1,1359983100000,1359983400000,0.0001,0.0001,6007.8125,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,18.42948717948718,0.0001,0.0001,0.0001,16.187050359712227,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,8392.079399393395,0.0001,3676.1280518563362,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,30.585106382978722,0.0001,2502.9288872057086,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1611.6357600732601,0.0001,0.0001
2,1359983400000,1359983700000,0.0001,0.0001,7125.0,65.32579787234043,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,89.09026739744228,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,15.95744680851064,0.0001,0.0001,0.0001,3562.5,0.0001,8145.703125,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,4039.573561966344,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,88.14658197641774,0.0001,0.0001
3,1359983700000,1359984000000,0.0001,0.0001,7125.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1781.8638392857142,0.0001,3279.7619047619046,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1505.238945538665,11.421783625730994,0.0001,0.0001,0.0001,0.0001,0.0001,187.49999999999997,0.0001,0.0001
4,1359984000000,1359984300000,0.0001,0.0001,61891.3986499799,101.72872340425532,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,763.3309243164609,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,3562.5,0.0001,4599.26157244507,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,220.73863636363637,0.0001,1224.3981979919477,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
5,1359984300000,1359984600000,0.0001,0.0001,7125.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,16.07142857142857,0.0001,0.0001,0.0001,7125.0,62490.57404891304,3267.857142857143,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,39.8936170212766,0.0001,6047.398325358851,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
6,1359984600000,1359984900000,0.0001,0.0001,4226.5625,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1107.6140873015872,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,731.7093685300207,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,2423.908624620061,0.0001,3599.6014030612246,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,13969.266343390806,0.0001,1421.6518271797572,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
7,1359984900000,1359985200000,0.0001,0.0001,3562.5,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,583.3333333333334,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,70.3125,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,2946.459441489362,0.0001,2871.6150873623396,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1317.7083333333333,0.0001,746.5277777777777,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
8,1359985200000,1359985500000,0.0001,0.0001,3192.504091653028,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1087.019751082251,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,339.92572047231096,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,15.95744680851064,0.0001,0.0001,0.0001,2866.717634740407,7125.0,3719.2668269230767,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,4308.705646205646,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
9,1359985500000,1359985800000,0.0001,0.0001,2946.459441489362,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,963.7266095374931,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,73.80319148936171,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,4691.6436621359835,0.0001,0.0001,0.0001,0.0001,2423.908624620061,3562.5,974.4318181818181,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1647.3905906637065,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
